Symbol,     Date,            Expiry,        Open,         High,          Low,         Close,           LTP,             Settle Price,       No. of contracts ,    Turnover Lakhs,             Open Int,               Change in OI,         Underlying Value  
TCS,     04-Oct-2023,     28-Dec-2023,      3540.00,      3591.25,      3530.00,      3590.85,      3591.00            ,3590.85             ,18.00               ,112.01                   ,4025.00                 ,875.00                  ,3537.75
TCS,     05-Oct-2023,     26-Oct-2023,      3565.00,      3629.60,      3556.05,      3597.05,      3600.10            ,3597.05             ,27639.00            ,173800.64                ,8542975.00              ,-267050.00              ,3589.35
TCS,     05-Oct-2023,     30-Nov-2023,      3594.35,      3653.95,      3580.25,      3620.60,      3626.00            ,3620.60             ,613.00              ,3882.92                  ,1227625.00              ,26950.00                ,3589.35
TCS,     05-Oct-2023,     28-Dec-2023,      3610.00,      3674.00,      3595.75,      3642.80,      3645.85            ,3642.80             ,53.00               ,337.45                   ,8225.00                 ,4200.00                 ,3589.35
TCS,     06-Oct-2023,     26-Oct-2023,      3608.75,      3643.40,      3583.40,      3630.30,      3633.00            ,3630.30             ,20578.00            ,130195.02                ,9306325.00              ,763350.00               ,3621.40
TCS,     06-Oct-2023,     30-Nov-2023,      3622.95,      3667.15,      3610.00,      3652.95,      3652.75            ,3652.95             ,1030.00             ,6557.39                  ,1313550.00              ,85925.00                ,3621.40
TCS,     06-Oct-2023,     28-Dec-2023,      3642.80,      3688.00,      3632.30,      3676.65,      3671.20            ,3676.65             ,45.00               ,288.35                   ,11375.00                ,3150.00                 ,3621.40
TCS,     09-Oct-2023,     26-Oct-2023,      3655.15,      3674.95,      3607.95,      3628.55,      3623.05            ,3628.55             ,36467.00            ,232680.63                ,9388050.00              ,81725.00                ,3638.35
TCS,     09-Oct-2023,     30-Nov-2023,      3668.40,      3695.00,      3644.00,      3650.60,      3647.00            ,3650.60             ,1964.00             ,12603.68                 ,1379700.00              ,66150.00                ,3638.35
TCS,     09-Oct-2023,     28-Dec-2023,      3692.00,      3714.00,      3650.00,      3669.50,      3667.30            ,3669.50             ,156.00              ,1006.68                  ,18025.00                ,6650.00                 ,3638.35
